date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:56	16276/16276	---M--	200	added ('OK')	font/woff	etag:%2261666f04-3f94%22	https://michelsinambela.github.io/assets/vendor/fontawesome-free/webfonts/fa-regular-400.woff	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/fontawesome-free/webfonts/fa-regular-400.woff	(from https://michelsinambela.github.io/assets/vendor/fontawesome-free/css/all.min.css)
13:40:57	33736/33736	---M-Z	200	added ('OK')	font/ttf	etag:W/%2261666f04-83c8%22	https://michelsinambela.github.io/assets/vendor/fontawesome-free/webfonts/fa-regular-400.ttf	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/fontawesome-free/webfonts/fa-regular-400.ttf	(from https://michelsinambela.github.io/assets/vendor/fontawesome-free/css/all.min.css)
13:40:57	144714/144714	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2261666f04-2354a%22	https://michelsinambela.github.io/assets/vendor/fontawesome-free/webfonts/fa-regular-400.svg	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/fontawesome-free/webfonts/fa-regular-400.svg	(from https://michelsinambela.github.io/assets/vendor/fontawesome-free/css/all.min.css)
13:40:58	203030/203030	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2261666f04-31916%22	https://michelsinambela.github.io/assets/vendor/fontawesome-free/webfonts/fa-solid-900.eot	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/fontawesome-free/webfonts/fa-solid-900.eot	(from https://michelsinambela.github.io/assets/vendor/fontawesome-free/css/all.min.css)
13:40:58	78268/78268	---M--	200	added ('OK')	font/woff2	etag:%2261666f04-131bc%22	https://michelsinambela.github.io/assets/vendor/fontawesome-free/webfonts/fa-solid-900.woff2	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/fontawesome-free/webfonts/fa-solid-900.woff2	(from https://michelsinambela.github.io/assets/vendor/fontawesome-free/css/all.min.css)
13:40:58	203030/203030	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2261666f04-31916%22	https://michelsinambela.github.io/assets/vendor/fontawesome-free/webfonts/fa-solid-900.eot?	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/fontawesome-free/webfonts/fa-solid-900d41d.eot	(from https://michelsinambela.github.io/assets/vendor/fontawesome-free/css/all.min.css)
13:40:59	101648/101648	---M--	200	added ('OK')	font/woff	etag:%2261666f04-18d10%22	https://michelsinambela.github.io/assets/vendor/fontawesome-free/webfonts/fa-solid-900.woff	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/fontawesome-free/webfonts/fa-solid-900.woff	(from https://michelsinambela.github.io/assets/vendor/fontawesome-free/css/all.min.css)
13:40:59	202744/202744	---M-Z	200	added ('OK')	font/ttf	etag:W/%2261666f04-317f8%22	https://michelsinambela.github.io/assets/vendor/fontawesome-free/webfonts/fa-solid-900.ttf	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/fontawesome-free/webfonts/fa-solid-900.ttf	(from https://michelsinambela.github.io/assets/vendor/fontawesome-free/css/all.min.css)
13:41:01	403228/403228	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2261666f04-6271c%22	https://michelsinambela.github.io/assets/vendor/remixicon/remixicon.eot?t=1590207869815	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/remixicon/remixicondf6d.eot	(from https://michelsinambela.github.io/assets/vendor/remixicon/remixicon.css)
13:41:04	125268/125268	---M--	200	added ('OK')	font/woff2	etag:%2261666f04-1e954%22	https://michelsinambela.github.io/assets/vendor/remixicon/remixicon.woff2?t=1590207869815	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/remixicon/remixicondf6d.woff2	(from https://michelsinambela.github.io/assets/vendor/remixicon/remixicon.css)
13:41:04	918991/918991	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2261666f04-e05cf%22	https://michelsinambela.github.io/assets/vendor/fontawesome-free/webfonts/fa-solid-900.svg	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/fontawesome-free/webfonts/fa-solid-900.svg	(from https://michelsinambela.github.io/assets/vendor/fontawesome-free/css/all.min.css)
13:41:06	172876/172876	---M--	200	added ('OK')	font/woff	etag:%2261666f04-2a34c%22	https://michelsinambela.github.io/assets/vendor/remixicon/remixicon.woff?t=1590207869815	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/remixicon/remixicondf6d.woff	(from https://michelsinambela.github.io/assets/vendor/remixicon/remixicon.css)
13:41:07	120789/120789	---M--	200	added ('OK')	image/jpeg	etag:%2261666f04-1d7d5%22	https://michelsinambela.github.io/assets/img/slider.jpg	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/img/slider.jpg	(from https://michelsinambela.github.io/assets/css/style.css)
13:41:09	403056/403056	---M-Z	200	added ('OK')	font/ttf	etag:W/%2261666f04-62670%22	https://michelsinambela.github.io/assets/vendor/remixicon/remixicon.ttf?t=1590207869815	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/remixicon/remixicondf6d.ttf	(from https://michelsinambela.github.io/assets/vendor/remixicon/remixicon.css)
13:41:10	1195522/1195522	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2261666f04-123e02%22	https://michelsinambela.github.io/assets/vendor/remixicon/remixicon.svg?t=1590207869815	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/remixicon/remixicondf6d.svg	(from https://michelsinambela.github.io/assets/vendor/remixicon/remixicon.css)
13:41:31	1290873/1290873	---M--	200	added ('OK')	image/png	etag:%2261666f04-13b279%22	https://michelsinambela.github.io/assets/img/pasphoto.png	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/img/pasphoto.png	(from https://michelsinambela.github.io/assets/css/style.css)
